股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,11464,-400,減碼,2026-09-24
聯發科,2454,5086,-100,減碼,2026-09-24
欣興,3037,20100,-200,減碼,2026-09-24
台光電,2383,4650,-100,減碼,2026-09-24
奇鋐,3017,5889,-60,減碼,2026-09-24
健策,3653,2502,-10,減碼,2026-09-24
國巨*,2327,24757,-350,減碼,2026-09-24
台達電,2308,7320,-100,減碼,2026-09-24
旺矽,6223,2499,-45,減碼,2026-09-24
聯電,2303,87118,-2000,減碼,2026-09-24
智邦,2345,6264,-200,減碼,2026-09-24
南電,8046,8937,-100,減碼,2026-09-24
緯穎,6669,4874,-265,減碼,2026-09-24
日月光投控,3711,13966,-1500,減碼,2026-09-24
貿聯-KY,3665,3877,-67,減碼,2026-09-24
台燿,6274,5886,-50,減碼,2026-09-24
富世達,6805,1673,-100,減碼,2026-09-24
京元電子,2449,12938,-200,減碼,2026-09-24
信驊,5274,169,-39,減碼,2026-09-24
創意,3443,388,-25,減碼,2026-09-24
金像電,2368,1634,-29,減碼,2026-09-24
臻鼎-KY,4958,3483,-60,減碼,2026-09-24
欣銓,3264,4982,-200,減碼,2026-09-24
勤誠,8210,1139,-20,減碼,2026-09-24
精測,6510,251,-5,減碼,2026-09-24
高力,8996,476,-9,減碼,2026-09-24
台表科,6278,3193,-55,減碼,2026-09-24
穎崴,6515,93,-2,減碼,2026-09-24
同欣電,6271,2185,-37,減碼,2026-09-24
精成科,6191,3921,-67,減碼,2026-09-24
新日興,3376,1740,0,持平,2026-09-24
華通,2313,501,0,持平,2026-09-24
中鋼,2002,5163,0,持平,2026-09-24
大立光,3008,1,0,持平,2026-09-24
世芯-KY,3661,1,0,持平,2026-09-24
致茂,2360,1,0,持平,2026-09-24
亞德客-KY,1590,1,0,持平,2026-09-24
萬潤,6187,1,0,持平,2026-09-24
環球晶,6488,1,0,持平,2026-09-24
強茂,2481,5,0,持平,2026-09-24
譜瑞-KY,4966,1,0,持平,2026-09-24
華星光,4979,1,0,持平,2026-09-24
金居,8358,1,0,持平,2026-09-24
南亞科,2408,1,0,持平,2026-09-24
廣達,2382,1,0,持平,2026-09-24
鴻海,2317,1,0,持平,2026-09-24
世界,5347,1,0,持平,2026-09-24
南茂,8150,1,0,持平,2026-09-24
慧洋-KY,2637,1,0,持平,2026-09-24
美律,2439,1,0,持平,2026-09-24
