股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,11960,0,持平,2026-07-15
台光電,2383,4653,0,持平,2026-07-15
國巨*,2327,25098,0,持平,2026-07-15
聯發科,2454,5131,0,持平,2026-07-15
欣興,3037,16607,274,加碼,2026-07-15
旺矽,6223,2443,0,持平,2026-07-15
智邦,2345,6334,0,持平,2026-07-15
聯電,2303,86550,0,持平,2026-07-15
南電,8046,9519,0,持平,2026-07-15
緯穎,6669,2417,0,持平,2026-07-15
奇鋐,3017,5191,0,持平,2026-07-15
日月光投控,3711,15770,486,加碼,2026-07-15
台達電,2308,5181,0,持平,2026-07-15
貿聯-KY,3665,4834,0,持平,2026-07-15
金像電,2368,8315,0,持平,2026-07-15
健策,3653,2267,0,持平,2026-07-15
台燿,6274,5160,0,持平,2026-07-15
信驊,5274,449,32,加碼,2026-07-15
勤誠,8210,2267,0,持平,2026-07-15
富世達,6805,1811,0,持平,2026-07-15
穎崴,6515,204,0,持平,2026-07-15
萬潤,6187,1334,0,持平,2026-07-15
頎邦,6147,6275,0,持平,2026-07-15
京元電子,2449,4119,2233,加碼,2026-07-15
高技,5439,3528,0,持平,2026-07-15
精測,6510,349,0,持平,2026-07-15
台表科,6278,4334,0,持平,2026-07-15
亞德客-KY,1590,528,0,持平,2026-07-15
同欣電,6271,2966,0,持平,2026-07-15
精成科,6191,3988,0,持平,2026-07-15
新日興,3376,1741,0,持平,2026-07-15
欣銓,3264,1508,0,持平,2026-07-15
中鋼,2002,5163,0,持平,2026-07-15
譜瑞-KY,4966,140,0,持平,2026-07-15
環球晶,6488,50,0,持平,2026-07-15
富喬,1815,107,0,持平,2026-07-15
創意,3443,1,0,持平,2026-07-15
大立光,3008,1,0,持平,2026-07-15
世芯-KY,3661,1,0,持平,2026-07-15
嘉澤,3533,1,0,持平,2026-07-15
高力,8996,1,0,持平,2026-07-15
強茂,2481,5,0,持平,2026-07-15
臻鼎-KY,4958,1,0,持平,2026-07-15
金居,8358,1,0,持平,2026-07-15
廣達,2382,1,0,持平,2026-07-15
華通,2313,1,0,持平,2026-07-15
鴻海,2317,1,0,持平,2026-07-15
世界,5347,1,0,持平,2026-07-15
南茂,8150,1,0,持平,2026-07-15
美律,2439,1,0,持平,2026-07-15
