股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,9600,-100,減碼,2026-09-21
聯發科,2454,2210,0,持平,2026-09-21
奇鋐,3017,2850,0,持平,2026-09-21
聯電,2303,60000,0,持平,2026-09-21
欣興,3037,8460,0,持平,2026-09-21
台光電,2383,1600,0,持平,2026-09-21
健策,3653,1115,0,持平,2026-09-21
旺矽,6223,1100,0,持平,2026-09-21
台達電,2308,2830,80,加碼,2026-09-21
創意,3443,645,25,加碼,2026-09-21
國巨*,2327,8000,0,持平,2026-09-21
緯穎,6669,1988,0,持平,2026-09-21
智邦,2345,2180,-127,減碼,2026-09-21
景碩,3189,4000,0,持平,2026-09-21
南亞,1303,13500,0,持平,2026-09-21
貿聯-KY,3665,1293,0,持平,2026-09-21
南電,8046,2770,0,持平,2026-09-21
台燿,6274,1900,0,持平,2026-09-21
環球晶,6488,2800,0,持平,2026-09-21
信驊,5274,120,0,持平,2026-09-21
高力,8996,1580,0,持平,2026-09-21
富世達,6805,840,78,加碼,2026-09-21
致茂,2360,770,-230,減碼,2026-09-21
大立光,3008,280,0,持平,2026-09-21
京元電子,2449,3500,900,加碼,2026-09-21
南亞科,2408,2000,0,持平,2026-09-21
川湖,2059,65,10,加碼,2026-09-21
聯鈞,3450,1500,200,加碼,2026-09-21
鴻海,2317,3200,0,持平,2026-09-21
鴻勁,7769,130,0,持平,2026-09-21
順達,3211,2000,0,持平,2026-09-21
日月光投控,3711,1000,0,持平,2026-09-21
辛耘,3583,800,0,持平,2026-09-21
光聖,6442,350,0,持平,2026-09-21
力成,6239,1800,-1000,減碼,2026-09-21
強茂,2481,3000,0,持平,2026-09-21
國泰金,2882,4000,0,持平,2026-09-21
漢唐,2404,250,0,持平,2026-09-21
全新,2455,386,0,持平,2026-09-21
中砂,1560,191,0,持平,2026-09-21
長興,1717,1500,0,持平,2026-09-21
光寶科,2301,300,0,持平,2026-09-21
啟碁,6285,350,0,持平,2026-09-21
嘉澤,3533,40,-40,減碼,2026-09-21
金居,8358,100,0,持平,2026-09-21
群聯,8299,1,0,持平,2026-09-21
帆宣,6196,1,0,持平,2026-09-21
上銀,2049,1,0,持平,2026-09-21
欣銓,3264,1,0,持平,2026-09-21
華邦電,2344,1,0,持平,2026-09-21
旺宏,2337,1,0,持平,2026-09-21
