股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,11600,0,持平,2026-07-28
聯電,2303,76000,0,持平,2026-07-28
奇鋐,3017,3450,0,持平,2026-07-28
台光電,2383,1360,0,持平,2026-07-28
欣興,3037,7600,0,持平,2026-07-28
華邦電,2344,40000,0,持平,2026-07-28
聯發科,2454,1730,0,持平,2026-07-28
旺矽,6223,1000,0,持平,2026-07-28
台達電,2308,3040,0,持平,2026-07-28
智邦,2345,2260,0,持平,2026-07-28
日月光投控,3711,6400,0,持平,2026-07-28
國巨*,2327,6000,0,持平,2026-07-28
緯穎,6669,600,0,持平,2026-07-28
健策,3653,931,0,持平,2026-07-28
臻鼎-KY,4958,6154,0,持平,2026-07-28
嘉澤,3533,1240,0,持平,2026-07-28
環球晶,6488,2350,0,持平,2026-07-28
景碩,3189,3217,0,持平,2026-07-28
台燿,6274,1680,0,持平,2026-07-28
創意,3443,510,0,持平,2026-07-28
貿聯-KY,3665,825,75,加碼,2026-07-28
鴻勁,7769,300,0,持平,2026-07-28
南電,8046,1750,0,持平,2026-07-28
南亞,1303,10700,0,持平,2026-07-28
信驊,5274,124,0,持平,2026-07-28
致茂,2360,760,0,持平,2026-07-28
金像電,2368,1800,0,持平,2026-07-28
高力,8996,1600,0,持平,2026-07-28
旺宏,2337,10000,0,持平,2026-07-28
富世達,6805,700,0,持平,2026-07-28
穎崴,6515,149,0,持平,2026-07-28
鴻海,2317,3200,0,持平,2026-07-28
順達,3211,2000,0,持平,2026-07-28
力成,6239,2600,0,持平,2026-07-28
中砂,1560,1000,0,持平,2026-07-28
辛耘,3583,900,0,持平,2026-07-28
金居,8358,1750,0,持平,2026-07-28
譜瑞-KY,4966,800,0,持平,2026-07-28
矽力*-KY,6415,834,-66,減碼,2026-07-28
大立光,3008,80,20,加碼,2026-07-28
上銀,2049,1010,0,持平,2026-07-28
光聖,6442,225,0,持平,2026-07-28
漢唐,2404,180,0,持平,2026-07-28
聯鈞,3450,300,100,加碼,2026-07-28
欣銓,3264,600,0,持平,2026-07-28
全新,2455,336,0,持平,2026-07-28
啟碁,6285,250,0,持平,2026-07-28
群聯,8299,1,0,持平,2026-07-28
帆宣,6196,1,0,持平,2026-07-28
世界,5347,1,0,持平,2026-07-28
