股票名稱,代碼,持有張數,張數增減,備註,日期
台光電,2383,4863,0,持平,2026-08-17
台積電,2330,12134,0,持平,2026-08-17
欣興,3037,20330,120,加碼,2026-08-17
聯發科,2454,5448,0,持平,2026-08-17
奇鋐,3017,5900,0,持平,2026-08-17
緯穎,6669,2496,0,持平,2026-08-17
國巨*,2327,25437,0,持平,2026-08-17
智邦,2345,6594,0,持平,2026-08-17
旺矽,6223,2443,0,持平,2026-08-17
台達電,2308,7070,0,持平,2026-08-17
健策,3653,2375,0,持平,2026-08-17
南電,8046,9634,0,持平,2026-08-17
日月光投控,3711,19529,0,持平,2026-08-17
聯電,2303,87718,0,持平,2026-08-17
貿聯-KY,3665,4617,0,持平,2026-08-17
台燿,6274,5499,0,持平,2026-08-17
信驊,5274,485,0,持平,2026-08-17
富世達,6805,2265,0,持平,2026-08-17
金像電,2368,3500,-500,減碼,2026-08-17
京元電子,2449,11295,0,持平,2026-08-17
勤誠,8210,2497,0,持平,2026-08-17
萬潤,6187,1334,0,持平,2026-08-17
致茂,2360,622,0,持平,2026-08-17
精測,6510,478,0,持平,2026-08-17
高力,8996,1102,300,加碼,2026-08-17
華星光,4979,2424,0,持平,2026-08-17
欣銓,3264,5918,0,持平,2026-08-17
臻鼎-KY,4958,1682,0,持平,2026-08-17
台表科,6278,3250,0,持平,2026-08-17
同欣電,6271,2224,0,持平,2026-08-17
精成科,6191,3988,0,持平,2026-08-17
新日興,3376,1741,0,持平,2026-08-17
中鋼,2002,5163,0,持平,2026-08-17
譜瑞-KY,4966,140,0,持平,2026-08-17
穎崴,6515,1,-12,減碼,2026-08-17
創意,3443,1,0,持平,2026-08-17
大立光,3008,1,0,持平,2026-08-17
世芯-KY,3661,1,0,持平,2026-08-17
嘉澤,3533,1,0,持平,2026-08-17
亞德客-KY,1590,1,0,持平,2026-08-17
環球晶,6488,1,0,持平,2026-08-17
強茂,2481,5,0,持平,2026-08-17
南亞科,2408,1,0,持平,2026-08-17
金居,8358,1,0,持平,2026-08-17
廣達,2382,1,0,持平,2026-08-17
鴻海,2317,1,0,持平,2026-08-17
華通,2313,1,0,持平,2026-08-17
世界,5347,1,0,持平,2026-08-17
南茂,8150,1,0,持平,2026-08-17
美律,2439,1,0,持平,2026-08-17
