股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12800,0,持平,2026-07-02
聯電,2303,75000,0,持平,2026-07-02
國巨*,2327,10050,0,持平,2026-07-02
奇鋐,3017,3450,0,持平,2026-07-02
欣興,3037,8960,0,持平,2026-07-02
旺矽,6223,1000,60,加碼,2026-07-02
華邦電,2344,38800,0,持平,2026-07-02
台光電,2383,1140,0,持平,2026-07-02
聯發科,2454,1435,0,持平,2026-07-02
智邦,2345,2100,0,持平,2026-07-02
台達電,2308,2430,0,持平,2026-07-02
緯穎,6669,790,0,持平,2026-07-02
日月光投控,3711,5600,300,加碼,2026-07-02
臻鼎-KY,4958,6440,0,持平,2026-07-02
金像電,2368,2750,0,持平,2026-07-02
健策,3653,830,0,持平,2026-07-02
台燿,6274,1700,0,持平,2026-07-02
嘉澤,3533,1240,0,持平,2026-07-02
景碩,3189,3217,0,持平,2026-07-02
創意,3443,480,30,加碼,2026-07-02
環球晶,6488,2000,0,持平,2026-07-02
高力,8996,1560,0,持平,2026-07-02
鴻勁,7769,279,0,持平,2026-07-02
穎崴,6515,200,0,持平,2026-07-02
南亞,1303,7550,0,持平,2026-07-02
旺宏,2337,10000,0,持平,2026-07-02
力旺,3529,390,0,持平,2026-07-02
金居,8358,1950,0,持平,2026-07-02
致茂,2360,450,0,持平,2026-07-02
富世達,6805,570,0,持平,2026-07-02
南電,8046,795,0,持平,2026-07-02
辛耘,3583,900,0,持平,2026-07-02
信驊,5274,45,0,持平,2026-07-02
中砂,1560,1000,0,持平,2026-07-02
鴻海,2317,3200,0,持平,2026-07-02
順達,3211,1560,0,持平,2026-07-02
譜瑞-KY,4966,900,0,持平,2026-07-02
帆宣,6196,1000,0,持平,2026-07-02
矽力*-KY,6415,900,0,持平,2026-07-02
光聖,6442,300,0,持平,2026-07-02
上銀,2049,1010,0,持平,2026-07-02
貿聯-KY,3665,166,0,持平,2026-07-02
頎邦,6147,1000,-2500,減碼,2026-07-02
世界,5347,1000,-4500,減碼,2026-07-02
力成,6239,500,0,持平,2026-07-02
全新,2455,450,0,持平,2026-07-02
群聯,8299,1,0,持平,2026-07-02
聯亞,3081,1,0,持平,2026-07-02
勤誠,8210,1,0,持平,2026-07-02
華星光,4979,1,-99,減碼,2026-07-02
