股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,14000,0,持平,2026-05-27
聯電,2303,79700,0,持平,2026-05-27
欣興,3037,8960,0,持平,2026-05-27
奇鋐,3017,3250,0,持平,2026-05-27
日月光投控,3711,12101,0,持平,2026-05-27
台光電,2383,1350,0,持平,2026-05-27
金像電,2368,4700,50,加碼,2026-05-27
國巨*,2327,8760,0,持平,2026-05-27
智邦,2345,1950,0,持平,2026-05-27
台達電,2308,2010,187,加碼,2026-05-27
華邦電,2344,30560,1260,加碼,2026-05-27
旺矽,6223,655,30,加碼,2026-05-27
聯發科,2454,840,208,加碼,2026-05-27
緯穎,6669,760,0,持平,2026-05-27
南電,8046,3550,0,持平,2026-05-27
嘉澤,3533,1160,0,持平,2026-05-27
臻鼎-KY,4958,5492,0,持平,2026-05-27
群聯,8299,1163,0,持平,2026-05-27
信驊,5274,155,0,持平,2026-05-27
貿聯-KY,3665,1285,0,持平,2026-05-27
健策,3653,670,240,加碼,2026-05-27
旺宏,2337,15350,0,持平,2026-05-27
致茂,2360,840,45,加碼,2026-05-27
創意,3443,400,30,加碼,2026-05-27
聯亞,3081,680,30,加碼,2026-05-27
光聖,6442,830,0,持平,2026-05-27
世界,5347,9911,0,持平,2026-05-27
穎崴,6515,165,0,持平,2026-05-27
高力,8996,1169,0,持平,2026-05-27
頎邦,6147,5000,0,持平,2026-05-27
台燿,6274,801,50,加碼,2026-05-27
鴻勁,7769,166,0,持平,2026-05-27
力旺,3529,390,0,持平,2026-05-27
健鼎,3044,2300,0,持平,2026-05-27
景碩,3189,1380,580,加碼,2026-05-27
金居,8358,1700,0,持平,2026-05-27
勤誠,8210,680,0,持平,2026-05-27
環球晶,6488,1000,1000,新增,2026-05-27
富世達,6805,500,0,持平,2026-05-27
華通,2313,3000,-1300,減碼,2026-05-27
辛耘,3583,900,0,持平,2026-05-27
華星光,4979,1200,340,加碼,2026-05-27
譜瑞-KY,4966,784,0,持平,2026-05-27
穩懋,3105,957,0,持平,2026-05-27
文曄,3036,1500,0,持平,2026-05-27
帆宣,6196,870,100,加碼,2026-05-27
上銀,2049,1010,0,持平,2026-05-27
強茂,2481,2510,0,持平,2026-05-27
全新,2455,450,0,持平,2026-05-27
中砂,1560,78,0,持平,2026-05-27
順達,3211,0,-1,清空,2026-05-27
