股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12680,0,持平,2026-08-04
聯電,2303,77800,0,持平,2026-08-04
奇鋐,3017,3450,0,持平,2026-08-04
台光電,2383,1495,0,持平,2026-08-04
欣興,3037,8060,460,加碼,2026-08-04
聯發科,2454,1910,115,加碼,2026-08-04
華邦電,2344,41155,1155,加碼,2026-08-04
旺矽,6223,1050,50,加碼,2026-08-04
智邦,2345,2307,0,持平,2026-08-04
台達電,2308,3040,0,持平,2026-08-04
健策,3653,1030,0,持平,2026-08-04
日月光投控,3711,7160,760,加碼,2026-08-04
國巨*,2327,7000,1000,加碼,2026-08-04
緯穎,6669,600,0,持平,2026-08-04
臻鼎-KY,4958,6154,0,持平,2026-08-04
貿聯-KY,3665,1101,91,加碼,2026-08-04
環球晶,6488,2646,46,加碼,2026-08-04
嘉澤,3533,1240,0,持平,2026-08-04
景碩,3189,3226,9,加碼,2026-08-04
信驊,5274,158,0,持平,2026-08-04
台燿,6274,1680,0,持平,2026-08-04
創意,3443,510,0,持平,2026-08-04
鴻勁,7769,300,0,持平,2026-08-04
南電,8046,1750,0,持平,2026-08-04
致茂,2360,897,0,持平,2026-08-04
高力,8996,1600,0,持平,2026-08-04
力成,6239,4400,660,加碼,2026-08-04
富世達,6805,700,0,持平,2026-08-04
中砂,1560,1500,150,加碼,2026-08-04
旺宏,2337,7498,0,持平,2026-08-04
鴻海,2317,3200,0,持平,2026-08-04
南亞,1303,4587,0,持平,2026-08-04
大立光,3008,172,2,加碼,2026-08-04
順達,3211,2000,0,持平,2026-08-04
辛耘,3583,900,0,持平,2026-08-04
譜瑞-KY,4966,800,0,持平,2026-08-04
金居,8358,1312,0,持平,2026-08-04
上銀,2049,1010,0,持平,2026-08-04
光聖,6442,225,0,持平,2026-08-04
聯鈞,3450,650,313,加碼,2026-08-04
漢唐,2404,250,0,持平,2026-08-04
矽力*-KY,6415,624,0,持平,2026-08-04
強茂,2481,1100,231,加碼,2026-08-04
欣銓,3264,700,0,持平,2026-08-04
全新,2455,336,0,持平,2026-08-04
啟碁,6285,350,100,加碼,2026-08-04
長興,1717,700,200,加碼,2026-08-04
群聯,8299,1,0,持平,2026-08-04
帆宣,6196,1,0,持平,2026-08-04
世界,5347,1,0,持平,2026-08-04
穎崴,6515,0,-29,清空,2026-08-04
