股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12000,0,持平,2026-08-18
台光電,2383,1690,0,持平,2026-08-18
欣興,3037,8460,0,持平,2026-08-18
聯電,2303,79000,0,持平,2026-08-18
奇鋐,3017,3000,-515,減碼,2026-08-18
聯發科,2454,2110,0,持平,2026-08-18
國巨*,2327,9785,0,持平,2026-08-18
旺矽,6223,1060,0,持平,2026-08-18
台達電,2308,3040,0,持平,2026-08-18
健策,3653,1020,220,加碼,2026-08-18
智邦,2345,2307,0,持平,2026-08-18
華邦電,2344,28000,0,持平,2026-08-18
日月光投控,3711,8000,0,持平,2026-08-18
緯穎,6669,610,0,持平,2026-08-18
景碩,3189,4250,0,持平,2026-08-18
信驊,5274,214,0,持平,2026-08-18
大立光,3008,626,0,持平,2026-08-18
南電,8046,2640,0,持平,2026-08-18
環球晶,6488,2800,154,加碼,2026-08-18
創意,3443,510,0,持平,2026-08-18
貿聯-KY,3665,1200,0,持平,2026-08-18
台燿,6274,1680,0,持平,2026-08-18
致茂,2360,1000,0,持平,2026-08-18
高力,8996,1600,0,持平,2026-08-18
南亞,1303,9000,0,持平,2026-08-18
力成,6239,5360,0,持平,2026-08-18
富世達,6805,700,0,持平,2026-08-18
嘉澤,3533,610,-90,減碼,2026-08-18
聯鈞,3450,1600,0,持平,2026-08-18
鴻勁,7769,130,0,持平,2026-08-18
鴻海,2317,3200,0,持平,2026-08-18
順達,3211,2000,0,持平,2026-08-18
中砂,1560,1050,-450,減碼,2026-08-18
旺宏,2337,6000,0,持平,2026-08-18
辛耘,3583,800,0,持平,2026-08-18
光聖,6442,225,0,持平,2026-08-18
金居,8358,800,0,持平,2026-08-18
川湖,2059,20,20,新增,2026-08-18
譜瑞-KY,4966,500,0,持平,2026-08-18
漢唐,2404,250,0,持平,2026-08-18
臻鼎-KY,4958,500,0,持平,2026-08-18
強茂,2481,1500,0,持平,2026-08-18
長興,1717,2500,0,持平,2026-08-18
欣銓,3264,700,0,持平,2026-08-18
全新,2455,200,-136,減碼,2026-08-18
啟碁,6285,350,0,持平,2026-08-18
群聯,8299,1,0,持平,2026-08-18
帆宣,6196,1,0,持平,2026-08-18
上銀,2049,1,0,持平,2026-08-18
世界,5347,1,0,持平,2026-08-18
矽力*-KY,6415,0,-1,清空,2026-08-18
