股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,11760,160,加碼,2026-07-29
聯電,2303,76000,0,持平,2026-07-29
奇鋐,3017,3450,0,持平,2026-07-29
台光電,2383,1360,0,持平,2026-07-29
聯發科,2454,1730,0,持平,2026-07-29
欣興,3037,7600,0,持平,2026-07-29
華邦電,2344,40000,0,持平,2026-07-29
旺矽,6223,1000,0,持平,2026-07-29
台達電,2308,3040,0,持平,2026-07-29
智邦,2345,2260,0,持平,2026-07-29
健策,3653,990,59,加碼,2026-07-29
日月光投控,3711,6400,0,持平,2026-07-29
緯穎,6669,600,0,持平,2026-07-29
國巨*,2327,6000,0,持平,2026-07-29
臻鼎-KY,4958,6154,0,持平,2026-07-29
嘉澤,3533,1240,0,持平,2026-07-29
環球晶,6488,2350,0,持平,2026-07-29
景碩,3189,3217,0,持平,2026-07-29
貿聯-KY,3665,880,55,加碼,2026-07-29
台燿,6274,1680,0,持平,2026-07-29
創意,3443,510,0,持平,2026-07-29
信驊,5274,124,0,持平,2026-07-29
鴻勁,7769,300,0,持平,2026-07-29
南電,8046,1750,0,持平,2026-07-29
致茂,2360,760,0,持平,2026-07-29
高力,8996,1600,0,持平,2026-07-29
富世達,6805,700,0,持平,2026-07-29
金像電,2368,1080,-720,減碼,2026-07-29
旺宏,2337,7498,-2502,減碼,2026-07-29
鴻海,2317,3200,0,持平,2026-07-29
南亞,1303,4587,-6113,減碼,2026-07-29
穎崴,6515,119,-30,減碼,2026-07-29
順達,3211,2000,0,持平,2026-07-29
力成,6239,2600,0,持平,2026-07-29
中砂,1560,1000,0,持平,2026-07-29
辛耘,3583,900,0,持平,2026-07-29
金居,8358,1604,-146,減碼,2026-07-29
譜瑞-KY,4966,800,0,持平,2026-07-29
大立光,3008,110,30,加碼,2026-07-29
上銀,2049,1010,0,持平,2026-07-29
光聖,6442,225,0,持平,2026-07-29
矽力*-KY,6415,624,-210,減碼,2026-07-29
漢唐,2404,180,0,持平,2026-07-29
欣銓,3264,700,100,加碼,2026-07-29
聯鈞,3450,300,0,持平,2026-07-29
全新,2455,336,0,持平,2026-07-29
啟碁,6285,250,0,持平,2026-07-29
群聯,8299,1,0,持平,2026-07-29
帆宣,6196,1,0,持平,2026-07-29
世界,5347,1,0,持平,2026-07-29
