股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12800,0,持平,2026-07-16
聯電,2303,75000,0,持平,2026-07-16
奇鋐,3017,3450,0,持平,2026-07-16
華邦電,2344,40000,0,持平,2026-07-16
欣興,3037,7064,0,持平,2026-07-16
旺矽,6223,1000,0,持平,2026-07-16
國巨*,2327,7800,0,持平,2026-07-16
聯發科,2454,1600,0,持平,2026-07-16
台光電,2383,1140,0,持平,2026-07-16
台達電,2308,2600,70,加碼,2026-07-16
智邦,2345,2100,0,持平,2026-07-16
日月光投控,3711,6150,250,加碼,2026-07-16
緯穎,6669,790,0,持平,2026-07-16
臻鼎-KY,4958,6940,0,持平,2026-07-16
環球晶,6488,2250,0,持平,2026-07-16
金像電,2368,2750,0,持平,2026-07-16
健策,3653,780,0,持平,2026-07-16
嘉澤,3533,1240,0,持平,2026-07-16
景碩,3189,3217,0,持平,2026-07-16
南電,8046,1750,0,持平,2026-07-16
台燿,6274,1700,0,持平,2026-07-16
南亞,1303,9900,0,持平,2026-07-16
創意,3443,480,0,持平,2026-07-16
鴻勁,7769,279,0,持平,2026-07-16
高力,8996,1600,0,持平,2026-07-16
旺宏,2337,10000,0,持平,2026-07-16
致茂,2360,680,140,加碼,2026-07-16
穎崴,6515,200,0,持平,2026-07-16
信驊,5274,94,14,加碼,2026-07-16
富世達,6805,570,0,持平,2026-07-16
鴻海,2317,3200,0,持平,2026-07-16
金居,8358,1750,0,持平,2026-07-16
順達,3211,1800,0,持平,2026-07-16
辛耘,3583,900,0,持平,2026-07-16
貿聯-KY,3665,300,50,加碼,2026-07-16
中砂,1560,750,-250,減碼,2026-07-16
譜瑞-KY,4966,800,0,持平,2026-07-16
矽力*-KY,6415,900,0,持平,2026-07-16
光聖,6442,300,0,持平,2026-07-16
上銀,2049,1010,0,持平,2026-07-16
力成,6239,900,0,持平,2026-07-16
大立光,3008,60,30,加碼,2026-07-16
欣銓,3264,600,0,持平,2026-07-16
全新,2455,450,0,持平,2026-07-16
漢唐,2404,60,0,持平,2026-07-16
群聯,8299,1,0,持平,2026-07-16
勤誠,8210,1,0,持平,2026-07-16
帆宣,6196,1,0,持平,2026-07-16
頎邦,6147,1,0,持平,2026-07-16
世界,5347,1,0,持平,2026-07-16
