股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,11657,0,持平,2026-05-26
台光電,2383,4723,0,持平,2026-05-26
聯發科,2454,4263,0,持平,2026-05-26
智邦,2345,6231,0,持平,2026-05-26
台達電,2308,6572,0,持平,2026-05-26
奇鋐,3017,5141,100,加碼,2026-05-26
旺矽,6223,2169,0,持平,2026-05-26
欣興,3037,12076,1254,加碼,2026-05-26
緯穎,6669,2344,0,持平,2026-05-26
國巨*,2327,18313,0,持平,2026-05-26
金像電,2368,7669,0,持平,2026-05-26
貿聯-KY,3665,4704,0,持平,2026-05-26
南電,8046,11398,0,持平,2026-05-26
日月光投控,3711,15640,642,加碼,2026-05-26
聯電,2303,66190,0,持平,2026-05-26
健策,3653,2267,0,持平,2026-05-26
信驊,5274,422,0,持平,2026-05-26
台燿,6274,4151,0,持平,2026-05-26
京元電子,2449,12919,0,持平,2026-05-26
穎崴,6515,442,0,持平,2026-05-26
精測,6510,930,0,持平,2026-05-26
富世達,6805,1761,0,持平,2026-05-26
勤誠,8210,2167,200,加碼,2026-05-26
漢唐,2404,1715,0,持平,2026-05-26
嘉澤,3533,772,0,持平,2026-05-26
欣銓,3264,6217,0,持平,2026-05-26
萬潤,6187,1224,0,持平,2026-05-26
高技,5439,3528,0,持平,2026-05-26
高力,8996,1034,0,持平,2026-05-26
大立光,3008,329,0,持平,2026-05-26
金居,8358,1980,0,持平,2026-05-26
南茂,8150,11334,0,持平,2026-05-26
台表科,6278,3734,0,持平,2026-05-26
譜瑞-KY,4966,1036,0,持平,2026-05-26
頎邦,6147,3201,0,持平,2026-05-26
亞德客-KY,1590,530,0,持平,2026-05-26
矽力*-KY,6415,1038,0,持平,2026-05-26
創意,3443,96,0,持平,2026-05-26
華通,2313,1649,-2475,減碼,2026-05-26
精成科,6191,3988,0,持平,2026-05-26
新日興,3376,1741,0,持平,2026-05-26
強茂,2481,2056,0,持平,2026-05-26
同欣電,6271,686,0,持平,2026-05-26
中鋼,2002,5163,0,持平,2026-05-26
東陽,1319,511,0,持平,2026-05-26
富喬,1815,107,0,持平,2026-05-26
世芯-KY,3661,1,0,持平,2026-05-26
美律,2439,18,0,持平,2026-05-26
華碩,2357,1,-272,減碼,2026-05-26
鴻海,2317,1,0,持平,2026-05-26
世界,5347,1,0,持平,2026-05-26
優群,3217,0,-382,清空,2026-05-26
