股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12134,0,持平,2026-08-06
台光電,2383,4863,0,持平,2026-08-06
聯發科,2454,5448,0,持平,2026-08-06
欣興,3037,20210,0,持平,2026-08-06
奇鋐,3017,5801,0,持平,2026-08-06
緯穎,6669,2708,0,持平,2026-08-06
智邦,2345,6419,0,持平,2026-08-06
旺矽,6223,2443,0,持平,2026-08-06
國巨*,2327,25437,0,持平,2026-08-06
貿聯-KY,3665,5131,0,持平,2026-08-06
台達電,2308,6505,573,加碼,2026-08-06
聯電,2303,87718,0,持平,2026-08-06
健策,3653,2375,0,持平,2026-08-06
南電,8046,9519,0,持平,2026-08-06
日月光投控,3711,17439,0,持平,2026-08-06
台燿,6274,5499,0,持平,2026-08-06
信驊,5274,455,0,持平,2026-08-06
金像電,2368,5000,-556,減碼,2026-08-06
富世達,6805,2053,96,加碼,2026-08-06
勤誠,8210,2497,200,加碼,2026-08-06
京元電子,2449,11295,0,持平,2026-08-06
萬潤,6187,1334,0,持平,2026-08-06
致茂,2360,472,0,持平,2026-08-06
華星光,4979,1874,0,持平,2026-08-06
亞德客-KY,1590,528,0,持平,2026-08-06
臻鼎-KY,4958,1682,0,持平,2026-08-06
高力,8996,712,0,持平,2026-08-06
精測,6510,261,0,持平,2026-08-06
台表科,6278,3250,0,持平,2026-08-06
南亞科,2408,940,0,持平,2026-08-06
同欣電,6271,2224,0,持平,2026-08-06
上銀,2049,1080,0,持平,2026-08-06
精成科,6191,3988,0,持平,2026-08-06
新日興,3376,1741,0,持平,2026-08-06
欣銓,3264,1508,0,持平,2026-08-06
穎崴,6515,23,-70,減碼,2026-08-06
中鋼,2002,5163,0,持平,2026-08-06
譜瑞-KY,4966,140,0,持平,2026-08-06
大立光,3008,1,0,持平,2026-08-06
創意,3443,1,0,持平,2026-08-06
世芯-KY,3661,1,0,持平,2026-08-06
嘉澤,3533,1,0,持平,2026-08-06
環球晶,6488,1,0,持平,2026-08-06
強茂,2481,5,0,持平,2026-08-06
金居,8358,1,0,持平,2026-08-06
廣達,2382,1,0,持平,2026-08-06
鴻海,2317,1,0,持平,2026-08-06
華通,2313,1,0,持平,2026-08-06
世界,5347,1,0,持平,2026-08-06
南茂,8150,1,0,持平,2026-08-06
美律,2439,1,0,持平,2026-08-06
