股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12680,0,持平,2026-08-11
聯電,2303,79000,0,持平,2026-08-11
奇鋐,3017,3450,0,持平,2026-08-11
台光電,2383,1600,50,加碼,2026-08-11
欣興,3037,8460,0,持平,2026-08-11
聯發科,2454,2000,0,持平,2026-08-11
華邦電,2344,42300,0,持平,2026-08-11
旺矽,6223,1050,0,持平,2026-08-11
國巨*,2327,9000,0,持平,2026-08-11
台達電,2308,3040,0,持平,2026-08-11
日月光投控,3711,8000,0,持平,2026-08-11
智邦,2345,2307,0,持平,2026-08-11
景碩,3189,4250,0,持平,2026-08-11
信驊,5274,200,0,持平,2026-08-11
健策,3653,800,-77,減碼,2026-08-11
緯穎,6669,500,0,持平,2026-08-11
台燿,6274,1680,0,持平,2026-08-11
貿聯-KY,3665,1200,0,持平,2026-08-11
創意,3443,510,0,持平,2026-08-11
嘉澤,3533,1240,0,持平,2026-08-11
環球晶,6488,2646,0,持平,2026-08-11
南電,8046,1750,0,持平,2026-08-11
致茂,2360,897,0,持平,2026-08-11
高力,8996,1600,0,持平,2026-08-11
力成,6239,5360,0,持平,2026-08-11
臻鼎-KY,4958,3000,-700,減碼,2026-08-11
富世達,6805,700,0,持平,2026-08-11
南亞,1303,6000,5000,加碼,2026-08-11
大立光,3008,260,0,持平,2026-08-11
鴻勁,7769,165,-10,減碼,2026-08-11
中砂,1560,1500,0,持平,2026-08-11
旺宏,2337,7498,0,持平,2026-08-11
鴻海,2317,3200,0,持平,2026-08-11
順達,3211,2000,0,持平,2026-08-11
聯鈞,3450,1600,0,持平,2026-08-11
辛耘,3583,900,0,持平,2026-08-11
金居,8358,1312,0,持平,2026-08-11
上銀,2049,1010,0,持平,2026-08-11
光聖,6442,225,0,持平,2026-08-11
譜瑞-KY,4966,500,0,持平,2026-08-11
漢唐,2404,250,0,持平,2026-08-11
長興,1717,2300,400,加碼,2026-08-11
強茂,2481,1100,0,持平,2026-08-11
欣銓,3264,700,0,持平,2026-08-11
全新,2455,336,0,持平,2026-08-11
矽力*-KY,6415,200,-50,減碼,2026-08-11
啟碁,6285,350,0,持平,2026-08-11
群聯,8299,1,0,持平,2026-08-11
帆宣,6196,1,0,持平,2026-08-11
世界,5347,1,0,持平,2026-08-11
