股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12134,0,持平,2026-08-11
台光電,2383,4863,0,持平,2026-08-11
聯發科,2454,5448,0,持平,2026-08-11
欣興,3037,20210,0,持平,2026-08-11
奇鋐,3017,5801,0,持平,2026-08-11
國巨*,2327,25437,0,持平,2026-08-11
旺矽,6223,2443,0,持平,2026-08-11
緯穎,6669,2496,-212,減碼,2026-08-11
智邦,2345,6419,0,持平,2026-08-11
台達電,2308,7070,0,持平,2026-08-11
日月光投控,3711,19529,0,持平,2026-08-11
南電,8046,9519,0,持平,2026-08-11
聯電,2303,87718,0,持平,2026-08-11
貿聯-KY,3665,4617,0,持平,2026-08-11
健策,3653,2375,0,持平,2026-08-11
台燿,6274,5499,0,持平,2026-08-11
信驊,5274,455,0,持平,2026-08-11
富世達,6805,2215,0,持平,2026-08-11
金像電,2368,4000,0,持平,2026-08-11
京元電子,2449,11295,0,持平,2026-08-11
勤誠,8210,2497,0,持平,2026-08-11
萬潤,6187,1334,0,持平,2026-08-11
致茂,2360,572,0,持平,2026-08-11
華星光,4979,2174,300,加碼,2026-08-11
精測,6510,361,100,加碼,2026-08-11
臻鼎-KY,4958,1682,0,持平,2026-08-11
高力,8996,712,0,持平,2026-08-11
欣銓,3264,3080,0,持平,2026-08-11
台表科,6278,3250,0,持平,2026-08-11
同欣電,6271,2224,0,持平,2026-08-11
精成科,6191,3988,0,持平,2026-08-11
新日興,3376,1741,0,持平,2026-08-11
穎崴,6515,23,0,持平,2026-08-11
中鋼,2002,5163,0,持平,2026-08-11
譜瑞-KY,4966,140,0,持平,2026-08-11
創意,3443,1,0,持平,2026-08-11
大立光,3008,1,0,持平,2026-08-11
世芯-KY,3661,1,0,持平,2026-08-11
嘉澤,3533,1,0,持平,2026-08-11
亞德客-KY,1590,1,-227,減碼,2026-08-11
環球晶,6488,1,0,持平,2026-08-11
強茂,2481,5,0,持平,2026-08-11
南亞科,2408,1,0,持平,2026-08-11
金居,8358,1,0,持平,2026-08-11
廣達,2382,1,0,持平,2026-08-11
鴻海,2317,1,0,持平,2026-08-11
華通,2313,1,0,持平,2026-08-11
世界,5347,1,0,持平,2026-08-11
南茂,8150,1,0,持平,2026-08-11
美律,2439,1,0,持平,2026-08-11
