股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,11884,0,持平,2026-08-21
台光電,2383,4843,0,持平,2026-08-21
欣興,3037,20300,0,持平,2026-08-21
聯發科,2454,5148,0,持平,2026-08-21
奇鋐,3017,5899,0,持平,2026-08-21
國巨*,2327,25387,0,持平,2026-08-21
緯穎,6669,2226,0,持平,2026-08-21
旺矽,6223,2486,0,持平,2026-08-21
智邦,2345,6564,0,持平,2026-08-21
健策,3653,2395,0,持平,2026-08-21
台達電,2308,7040,0,持平,2026-08-21
日月光投控,3711,19479,0,持平,2026-08-21
南電,8046,9624,0,持平,2026-08-21
貿聯-KY,3665,4672,0,持平,2026-08-21
聯電,2303,87518,0,持平,2026-08-21
台燿,6274,5498,0,持平,2026-08-21
信驊,5274,411,0,持平,2026-08-21
富世達,6805,2264,0,持平,2026-08-21
京元電子,2449,11275,0,持平,2026-08-21
勤誠,8210,2477,0,持平,2026-08-21
金像電,2368,1957,-43,減碼,2026-08-21
華星光,4979,2424,0,持平,2026-08-21
精測,6510,477,0,持平,2026-08-21
欣銓,3264,5917,0,持平,2026-08-21
高力,8996,1101,0,持平,2026-08-21
創意,3443,142,0,持平,2026-08-21
臻鼎-KY,4958,1645,0,持平,2026-08-21
台表科,6278,3249,0,持平,2026-08-21
萬潤,6187,483,0,持平,2026-08-21
同欣電,6271,2223,0,持平,2026-08-21
精成科,6191,3988,0,持平,2026-08-21
新日興,3376,1741,0,持平,2026-08-21
中鋼,2002,5163,0,持平,2026-08-21
譜瑞-KY,4966,140,0,持平,2026-08-21
慧洋-KY,2637,200,0,持平,2026-08-21
穎崴,6515,1,0,持平,2026-08-21
大立光,3008,1,0,持平,2026-08-21
世芯-KY,3661,1,0,持平,2026-08-21
致茂,2360,1,-293,減碼,2026-08-21
亞德客-KY,1590,1,0,持平,2026-08-21
環球晶,6488,1,0,持平,2026-08-21
強茂,2481,5,0,持平,2026-08-21
南亞科,2408,1,0,持平,2026-08-21
金居,8358,1,0,持平,2026-08-21
廣達,2382,1,0,持平,2026-08-21
鴻海,2317,1,0,持平,2026-08-21
華通,2313,1,0,持平,2026-08-21
世界,5347,1,0,持平,2026-08-21
南茂,8150,1,0,持平,2026-08-21
美律,2439,1,0,持平,2026-08-21
