股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,14000,230,加碼,2026-05-20
聯電,2303,73400,0,持平,2026-05-20
奇鋐,3017,2920,0,持平,2026-05-20
欣興,3037,8300,270,加碼,2026-05-20
台光電,2383,1350,0,持平,2026-05-20
金像電,2368,4160,0,持平,2026-05-20
日月光投控,3711,9940,0,持平,2026-05-20
智邦,2345,1880,90,加碼,2026-05-20
國巨*,2327,7750,350,加碼,2026-05-20
台達電,2308,1823,0,持平,2026-05-20
緯穎,6669,680,30,加碼,2026-05-20
旺矽,6223,560,0,持平,2026-05-20
華邦電,2344,24600,0,持平,2026-05-20
群聯,8299,1163,0,持平,2026-05-20
貿聯-KY,3665,1285,0,持平,2026-05-20
信驊,5274,155,0,持平,2026-05-20
南電,8046,2655,0,持平,2026-05-20
臻鼎-KY,4958,4850,350,加碼,2026-05-20
旺宏,2337,14232,0,持平,2026-05-20
嘉澤,3533,850,70,加碼,2026-05-20
世界,5347,9911,0,持平,2026-05-20
健策,3653,430,0,持平,2026-05-20
致茂,2360,630,101,加碼,2026-05-20
穎崴,6515,140,0,持平,2026-05-20
國泰金,2882,16001,0,持平,2026-05-20
鴻勁,7769,166,0,持平,2026-05-20
華通,2313,4300,0,持平,2026-05-20
頎邦,6147,4700,0,持平,2026-05-20
高力,8996,1000,30,加碼,2026-05-20
健鼎,3044,2100,206,加碼,2026-05-20
光聖,6442,520,70,加碼,2026-05-20
力旺,3529,270,15,加碼,2026-05-20
創意,3443,190,45,加碼,2026-05-20
聯亞,3081,320,65,加碼,2026-05-20
金居,8358,1700,0,持平,2026-05-20
辛耘,3583,900,0,持平,2026-05-20
勤誠,8210,553,0,持平,2026-05-20
富世達,6805,400,80,加碼,2026-05-20
中信金,2891,11801,0,持平,2026-05-20
台燿,6274,551,0,持平,2026-05-20
文曄,3036,2365,0,持平,2026-05-20
譜瑞-KY,4966,784,0,持平,2026-05-20
順達,3211,1601,0,持平,2026-05-20
聯發科,2454,155,0,持平,2026-05-20
華星光,4979,860,0,持平,2026-05-20
穩懋,3105,957,0,持平,2026-05-20
上銀,2049,1010,0,持平,2026-05-20
強茂,2481,2510,0,持平,2026-05-20
全新,2455,145,0,持平,2026-05-20
中砂,1560,78,-773,減碼,2026-05-20
