股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,14200,0,持平,2026-06-16
聯電,2303,72400,0,持平,2026-06-16
國巨*,2327,9900,0,持平,2026-06-16
欣興,3037,8960,0,持平,2026-06-16
奇鋐,3017,3250,0,持平,2026-06-16
華邦電,2344,38000,0,持平,2026-06-16
台光電,2383,1350,0,持平,2026-06-16
金像電,2368,4700,0,持平,2026-06-16
聯發科,2454,1280,0,持平,2026-06-16
旺矽,6223,900,0,持平,2026-06-16
台達電,2308,2430,0,持平,2026-06-16
智邦,2345,2100,0,持平,2026-06-16
臻鼎-KY,4958,6440,420,加碼,2026-06-16
緯穎,6669,790,0,持平,2026-06-16
日月光投控,3711,6200,-2700,減碼,2026-06-16
健策,3653,830,0,持平,2026-06-16
嘉澤,3533,1240,0,持平,2026-06-16
旺宏,2337,16350,0,持平,2026-06-16
台燿,6274,1650,130,加碼,2026-06-16
創意,3443,430,0,持平,2026-06-16
貿聯-KY,3665,980,-110,減碼,2026-06-16
鴻勁,7769,279,0,持平,2026-06-16
穎崴,6515,200,0,持平,2026-06-16
高力,8996,1334,0,持平,2026-06-16
環球晶,6488,1700,0,持平,2026-06-16
世界,5347,9911,0,持平,2026-06-16
光聖,6442,830,0,持平,2026-06-16
致茂,2360,610,-230,減碼,2026-06-16
聯亞,3081,570,0,持平,2026-06-16
頎邦,6147,5600,0,持平,2026-06-16
力旺,3529,390,0,持平,2026-06-16
金居,8358,1710,0,持平,2026-06-16
富世達,6805,570,0,持平,2026-06-16
南電,8046,1080,0,持平,2026-06-16
景碩,3189,1380,0,持平,2026-06-16
南亞,1303,7550,0,持平,2026-06-16
鴻海,2317,3200,0,持平,2026-06-16
信驊,5274,45,0,持平,2026-06-16
辛耘,3583,900,0,持平,2026-06-16
勤誠,8210,540,-140,減碼,2026-06-16
順達,3211,1560,460,加碼,2026-06-16
譜瑞-KY,4966,900,0,持平,2026-06-16
中砂,1560,800,0,持平,2026-06-16
帆宣,6196,1000,0,持平,2026-06-16
穩懋,3105,957,0,持平,2026-06-16
華星光,4979,650,-98,減碼,2026-06-16
上銀,2049,1010,0,持平,2026-06-16
矽力*-KY,6415,500,500,新增,2026-06-16
全新,2455,450,0,持平,2026-06-16
群聯,8299,1,-349,減碼,2026-06-16
強茂,2481,0,-1,清空,2026-06-16
