股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12134,0,持平,2026-08-10
台光電,2383,4863,0,持平,2026-08-10
聯發科,2454,5448,0,持平,2026-08-10
欣興,3037,20210,0,持平,2026-08-10
緯穎,6669,2708,0,持平,2026-08-10
奇鋐,3017,5801,0,持平,2026-08-10
旺矽,6223,2443,0,持平,2026-08-10
國巨*,2327,25437,0,持平,2026-08-10
智邦,2345,6419,0,持平,2026-08-10
台達電,2308,7070,364,加碼,2026-08-10
日月光投控,3711,19529,2090,加碼,2026-08-10
聯電,2303,87718,0,持平,2026-08-10
南電,8046,9519,0,持平,2026-08-10
貿聯-KY,3665,4617,0,持平,2026-08-10
健策,3653,2375,0,持平,2026-08-10
台燿,6274,5499,0,持平,2026-08-10
信驊,5274,455,0,持平,2026-08-10
富世達,6805,2215,162,加碼,2026-08-10
金像電,2368,4000,-1000,減碼,2026-08-10
京元電子,2449,11295,0,持平,2026-08-10
勤誠,8210,2497,0,持平,2026-08-10
萬潤,6187,1334,0,持平,2026-08-10
致茂,2360,572,0,持平,2026-08-10
華星光,4979,1874,0,持平,2026-08-10
臻鼎-KY,4958,1682,0,持平,2026-08-10
高力,8996,712,0,持平,2026-08-10
精測,6510,261,0,持平,2026-08-10
欣銓,3264,3080,1572,加碼,2026-08-10
台表科,6278,3250,0,持平,2026-08-10
同欣電,6271,2224,0,持平,2026-08-10
亞德客-KY,1590,228,-300,減碼,2026-08-10
精成科,6191,3988,0,持平,2026-08-10
新日興,3376,1741,0,持平,2026-08-10
穎崴,6515,23,0,持平,2026-08-10
中鋼,2002,5163,0,持平,2026-08-10
譜瑞-KY,4966,140,0,持平,2026-08-10
創意,3443,1,0,持平,2026-08-10
大立光,3008,1,0,持平,2026-08-10
世芯-KY,3661,1,0,持平,2026-08-10
嘉澤,3533,1,0,持平,2026-08-10
環球晶,6488,1,0,持平,2026-08-10
強茂,2481,5,0,持平,2026-08-10
南亞科,2408,1,-939,減碼,2026-08-10
金居,8358,1,0,持平,2026-08-10
廣達,2382,1,0,持平,2026-08-10
鴻海,2317,1,0,持平,2026-08-10
華通,2313,1,0,持平,2026-08-10
世界,5347,1,0,持平,2026-08-10
南茂,8150,1,0,持平,2026-08-10
美律,2439,1,0,持平,2026-08-10
