股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,11960,0,持平,2026-06-05
台光電,2383,4486,0,持平,2026-06-05
聯發科,2454,4263,0,持平,2026-06-05
智邦,2345,6334,103,加碼,2026-06-05
台達電,2308,6572,0,持平,2026-06-05
緯穎,6669,2492,55,加碼,2026-06-05
國巨*,2327,18313,0,持平,2026-06-05
奇鋐,3017,5191,0,持平,2026-06-05
旺矽,6223,2169,0,持平,2026-06-05
欣興,3037,12466,0,持平,2026-06-05
日月光投控,3711,17948,0,持平,2026-06-05
貿聯-KY,3665,4704,0,持平,2026-06-05
金像電,2368,7769,0,持平,2026-06-05
聯電,2303,71690,0,持平,2026-06-05
南電,8046,10828,0,持平,2026-06-05
健策,3653,2267,0,持平,2026-06-05
信驊,5274,422,0,持平,2026-06-05
台燿,6274,4400,0,持平,2026-06-05
穎崴,6515,442,0,持平,2026-06-05
富世達,6805,1761,0,持平,2026-06-05
精測,6510,930,0,持平,2026-06-05
勤誠,8210,2167,0,持平,2026-06-05
廣達,2382,5441,0,持平,2026-06-05
鴻海,2317,7307,0,持平,2026-06-05
嘉澤,3533,852,0,持平,2026-06-05
頎邦,6147,5775,0,持平,2026-06-05
萬潤,6187,1334,0,持平,2026-06-05
漢唐,2404,1200,0,持平,2026-06-05
高技,5439,3528,0,持平,2026-06-05
譜瑞-KY,4966,1642,0,持平,2026-06-05
高力,8996,1034,0,持平,2026-06-05
京元電子,2449,3645,0,持平,2026-06-05
南茂,8150,11635,0,持平,2026-06-05
台表科,6278,3734,0,持平,2026-06-05
創意,3443,167,0,持平,2026-06-05
亞德客-KY,1590,530,0,持平,2026-06-05
金居,8358,980,0,持平,2026-06-05
新日興,3376,1741,0,持平,2026-06-05
精成科,6191,3988,0,持平,2026-06-05
同欣電,6271,686,0,持平,2026-06-05
中鋼,2002,5163,0,持平,2026-06-05
華通,2313,329,0,持平,2026-06-05
東陽,1319,511,0,持平,2026-06-05
富喬,1815,107,0,持平,2026-06-05
世芯-KY,3661,1,0,持平,2026-06-05
大立光,3008,1,-160,減碼,2026-06-05
美律,2439,18,0,持平,2026-06-05
強茂,2481,5,0,持平,2026-06-05
欣銓,3264,1,0,持平,2026-06-05
世界,5347,1,0,持平,2026-06-05
