股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,13300,-900,減碼,2026-06-18
國巨*,2327,10050,0,持平,2026-06-18
聯電,2303,72400,0,持平,2026-06-18
欣興,3037,8960,0,持平,2026-06-18
華邦電,2344,38800,0,持平,2026-06-18
奇鋐,3017,3250,0,持平,2026-06-18
台光電,2383,1350,0,持平,2026-06-18
金像電,2368,4700,0,持平,2026-06-18
旺矽,6223,900,0,持平,2026-06-18
聯發科,2454,1280,0,持平,2026-06-18
台達電,2308,2430,0,持平,2026-06-18
智邦,2345,2100,0,持平,2026-06-18
臻鼎-KY,4958,6440,0,持平,2026-06-18
緯穎,6669,790,0,持平,2026-06-18
健策,3653,830,0,持平,2026-06-18
台燿,6274,1700,0,持平,2026-06-18
嘉澤,3533,1240,0,持平,2026-06-18
旺宏,2337,16350,0,持平,2026-06-18
日月光投控,3711,4500,0,持平,2026-06-18
高力,8996,1502,156,加碼,2026-06-18
環球晶,6488,2000,0,持平,2026-06-18
創意,3443,430,0,持平,2026-06-18
鴻勁,7769,279,0,持平,2026-06-18
穎崴,6515,200,0,持平,2026-06-18
世界,5347,9911,0,持平,2026-06-18
貿聯-KY,3665,820,0,持平,2026-06-18
光聖,6442,801,0,持平,2026-06-18
頎邦,6147,5600,0,持平,2026-06-18
致茂,2360,610,0,持平,2026-06-18
力旺,3529,390,0,持平,2026-06-18
金居,8358,1710,0,持平,2026-06-18
聯亞,3081,450,0,持平,2026-06-18
南亞,1303,7550,0,持平,2026-06-18
富世達,6805,570,0,持平,2026-06-18
景碩,3189,1380,0,持平,2026-06-18
南電,8046,1080,0,持平,2026-06-18
鴻海,2317,3200,0,持平,2026-06-18
信驊,5274,45,0,持平,2026-06-18
辛耘,3583,900,0,持平,2026-06-18
順達,3211,1560,0,持平,2026-06-18
譜瑞-KY,4966,900,0,持平,2026-06-18
帆宣,6196,1000,0,持平,2026-06-18
中砂,1560,800,0,持平,2026-06-18
穩懋,3105,957,0,持平,2026-06-18
矽力*-KY,6415,750,0,持平,2026-06-18
勤誠,8210,280,-220,減碼,2026-06-18
華星光,4979,600,0,持平,2026-06-18
上銀,2049,1010,0,持平,2026-06-18
全新,2455,450,0,持平,2026-06-18
群聯,8299,1,0,持平,2026-06-18
