股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,14000,0,持平,2026-05-26
聯電,2303,79700,4200,加碼,2026-05-26
欣興,3037,8960,0,持平,2026-05-26
奇鋐,3017,3250,0,持平,2026-05-26
日月光投控,3711,12101,0,持平,2026-05-26
台光電,2383,1350,0,持平,2026-05-26
金像電,2368,4650,0,持平,2026-05-26
國巨*,2327,8760,0,持平,2026-05-26
智邦,2345,1950,0,持平,2026-05-26
台達電,2308,1823,0,持平,2026-05-26
華邦電,2344,29300,0,持平,2026-05-26
緯穎,6669,760,0,持平,2026-05-26
旺矽,6223,625,25,加碼,2026-05-26
南電,8046,3550,0,持平,2026-05-26
嘉澤,3533,1160,60,加碼,2026-05-26
臻鼎-KY,4958,5492,0,持平,2026-05-26
群聯,8299,1163,0,持平,2026-05-26
貿聯-KY,3665,1285,0,持平,2026-05-26
聯發科,2454,632,0,持平,2026-05-26
信驊,5274,155,0,持平,2026-05-26
旺宏,2337,15350,1118,加碼,2026-05-26
聯亞,3081,650,60,加碼,2026-05-26
致茂,2360,795,0,持平,2026-05-26
創意,3443,370,40,加碼,2026-05-26
光聖,6442,830,0,持平,2026-05-26
世界,5347,9911,0,持平,2026-05-26
健策,3653,430,0,持平,2026-05-26
穎崴,6515,165,0,持平,2026-05-26
高力,8996,1169,39,加碼,2026-05-26
力旺,3529,390,0,持平,2026-05-26
鴻勁,7769,166,0,持平,2026-05-26
頎邦,6147,5000,0,持平,2026-05-26
華通,2313,4300,0,持平,2026-05-26
台燿,6274,751,200,加碼,2026-05-26
健鼎,3044,2300,0,持平,2026-05-26
勤誠,8210,680,0,持平,2026-05-26
金居,8358,1700,0,持平,2026-05-26
富世達,6805,500,0,持平,2026-05-26
辛耘,3583,900,0,持平,2026-05-26
譜瑞-KY,4966,784,0,持平,2026-05-26
華星光,4979,860,0,持平,2026-05-26
景碩,3189,800,800,新增,2026-05-26
穩懋,3105,957,0,持平,2026-05-26
文曄,3036,1500,-865,減碼,2026-05-26
上銀,2049,1010,0,持平,2026-05-26
帆宣,6196,770,360,加碼,2026-05-26
強茂,2481,2510,0,持平,2026-05-26
全新,2455,450,0,持平,2026-05-26
中砂,1560,78,0,持平,2026-05-26
順達,3211,1,0,持平,2026-05-26
國泰金,2882,0,-1,清空,2026-05-26
