股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,11840,0,持平,2026-07-23
台光電,2383,4653,0,持平,2026-07-23
聯發科,2454,5131,0,持平,2026-07-23
國巨*,2327,25098,0,持平,2026-07-23
旺矽,6223,2443,0,持平,2026-07-23
欣興,3037,16971,0,持平,2026-07-23
智邦,2345,6334,0,持平,2026-07-23
奇鋐,3017,5423,0,持平,2026-07-23
緯穎,6669,2417,0,持平,2026-07-23
聯電,2303,86550,0,持平,2026-07-23
南電,8046,9519,0,持平,2026-07-23
貿聯-KY,3665,4834,0,持平,2026-07-23
日月光投控,3711,16327,0,持平,2026-07-23
台達電,2308,5567,0,持平,2026-07-23
健策,3653,2267,0,持平,2026-07-23
金像電,2368,7478,-837,減碼,2026-07-23
信驊,5274,449,0,持平,2026-07-23
台燿,6274,5160,0,持平,2026-07-23
富世達,6805,1931,50,加碼,2026-07-23
勤誠,8210,2267,0,持平,2026-07-23
京元電子,2449,7089,0,持平,2026-07-23
萬潤,6187,1334,0,持平,2026-07-23
精測,6510,349,0,持平,2026-07-23
臻鼎-KY,4958,1682,0,持平,2026-07-23
頎邦,6147,4706,-523,減碼,2026-07-23
亞德客-KY,1590,528,0,持平,2026-07-23
台表科,6278,4334,0,持平,2026-07-23
高技,5439,2646,0,持平,2026-07-23
穎崴,6515,93,0,持平,2026-07-23
同欣電,6271,2966,0,持平,2026-07-23
南亞科,2408,940,0,持平,2026-07-23
精成科,6191,3988,0,持平,2026-07-23
新日興,3376,1741,0,持平,2026-07-23
欣銓,3264,1508,0,持平,2026-07-23
中鋼,2002,5163,0,持平,2026-07-23
譜瑞-KY,4966,140,0,持平,2026-07-23
創意,3443,1,0,持平,2026-07-23
大立光,3008,1,0,持平,2026-07-23
世芯-KY,3661,1,0,持平,2026-07-23
嘉澤,3533,1,0,持平,2026-07-23
環球晶,6488,1,0,持平,2026-07-23
高力,8996,1,0,持平,2026-07-23
強茂,2481,5,0,持平,2026-07-23
金居,8358,1,0,持平,2026-07-23
廣達,2382,1,0,持平,2026-07-23
鴻海,2317,1,0,持平,2026-07-23
華通,2313,1,0,持平,2026-07-23
世界,5347,1,0,持平,2026-07-23
南茂,8150,1,0,持平,2026-07-23
美律,2439,1,0,持平,2026-07-23
