股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,11960,0,持平,2026-07-03
台光電,2383,4486,0,持平,2026-07-03
國巨*,2327,25098,0,持平,2026-07-03
聯發科,2454,5037,0,持平,2026-07-03
旺矽,6223,2382,0,持平,2026-07-03
智邦,2345,6334,0,持平,2026-07-03
聯電,2303,86550,0,持平,2026-07-03
欣興,3037,15203,0,持平,2026-07-03
奇鋐,3017,5191,0,持平,2026-07-03
緯穎,6669,2417,0,持平,2026-07-03
金像電,2368,8315,0,持平,2026-07-03
南電,8046,8949,0,持平,2026-07-03
台達電,2308,5052,-562,減碼,2026-07-03
貿聯-KY,3665,4834,0,持平,2026-07-03
台燿,6274,5160,0,持平,2026-07-03
日月光投控,3711,12742,0,持平,2026-07-03
健策,3653,2267,0,持平,2026-07-03
信驊,5274,379,0,持平,2026-07-03
勤誠,8210,2267,0,持平,2026-07-03
富世達,6805,1811,0,持平,2026-07-03
穎崴,6515,226,-26,減碼,2026-07-03
萬潤,6187,1334,0,持平,2026-07-03
精測,6510,411,-46,減碼,2026-07-03
頎邦,6147,6275,0,持平,2026-07-03
高技,5439,3528,0,持平,2026-07-03
京元電子,2449,3427,-381,減碼,2026-07-03
台表科,6278,4334,0,持平,2026-07-03
同欣電,6271,2966,0,持平,2026-07-03
亞德客-KY,1590,530,0,持平,2026-07-03
精成科,6191,3988,0,持平,2026-07-03
欣銓,3264,1508,0,持平,2026-07-03
新日興,3376,1741,0,持平,2026-07-03
中鋼,2002,5163,0,持平,2026-07-03
譜瑞-KY,4966,140,0,持平,2026-07-03
環球晶,6488,50,0,持平,2026-07-03
富喬,1815,107,0,持平,2026-07-03
創意,3443,1,0,持平,2026-07-03
世芯-KY,3661,1,0,持平,2026-07-03
大立光,3008,1,0,持平,2026-07-03
嘉澤,3533,1,-290,減碼,2026-07-03
高力,8996,1,0,持平,2026-07-03
強茂,2481,5,0,持平,2026-07-03
臻鼎-KY,4958,1,0,持平,2026-07-03
金居,8358,1,0,持平,2026-07-03
廣達,2382,1,0,持平,2026-07-03
鴻海,2317,1,0,持平,2026-07-03
華通,2313,1,0,持平,2026-07-03
世界,5347,1,0,持平,2026-07-03
南茂,8150,1,0,持平,2026-07-03
美律,2439,1,0,持平,2026-07-03
