股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12000,0,持平,2026-08-26
台光電,2383,1690,0,持平,2026-08-26
奇鋐,3017,3150,50,加碼,2026-08-26
欣興,3037,8460,0,持平,2026-08-26
聯發科,2454,2110,0,持平,2026-08-26
聯電,2303,60000,0,持平,2026-08-26
健策,3653,1087,7,加碼,2026-08-26
旺矽,6223,1100,0,持平,2026-08-26
國巨*,2327,9785,0,持平,2026-08-26
台達電,2308,2880,-160,減碼,2026-08-26
智邦,2345,2307,0,持平,2026-08-26
日月光投控,3711,8000,0,持平,2026-08-26
緯穎,6669,660,30,加碼,2026-08-26
景碩,3189,4550,300,加碼,2026-08-26
大立光,3008,626,0,持平,2026-08-26
創意,3443,621,11,加碼,2026-08-26
南電,8046,2640,0,持平,2026-08-26
台燿,6274,1900,100,加碼,2026-08-26
信驊,5274,180,0,持平,2026-08-26
華邦電,2344,15000,0,持平,2026-08-26
環球晶,6488,2800,0,持平,2026-08-26
貿聯-KY,3665,1200,0,持平,2026-08-26
南亞,1303,10358,358,加碼,2026-08-26
高力,8996,1737,17,加碼,2026-08-26
致茂,2360,1000,0,持平,2026-08-26
富世達,6805,866,86,加碼,2026-08-26
力成,6239,5360,0,持平,2026-08-26
鴻勁,7769,130,0,持平,2026-08-26
鴻海,2317,3200,0,持平,2026-08-26
順達,3211,2000,0,持平,2026-08-26
辛耘,3583,800,0,持平,2026-08-26
旺宏,2337,4500,0,持平,2026-08-26
川湖,2059,35,0,持平,2026-08-26
嘉澤,3533,250,-50,減碼,2026-08-26
光聖,6442,225,0,持平,2026-08-26
金居,8358,800,0,持平,2026-08-26
漢唐,2404,250,0,持平,2026-08-26
中砂,1560,393,0,持平,2026-08-26
聯鈞,3450,400,0,持平,2026-08-26
臻鼎-KY,4958,500,0,持平,2026-08-26
長興,1717,2500,0,持平,2026-08-26
欣銓,3264,700,0,持平,2026-08-26
譜瑞-KY,4966,220,0,持平,2026-08-26
全新,2455,200,0,持平,2026-08-26
啟碁,6285,350,0,持平,2026-08-26
群聯,8299,1,0,持平,2026-08-26
帆宣,6196,1,0,持平,2026-08-26
上銀,2049,1,0,持平,2026-08-26
世界,5347,1,0,持平,2026-08-26
強茂,2481,1,0,持平,2026-08-26
