股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,11864,850,加碼,2026-09-08
台光電,2383,4750,0,持平,2026-09-08
聯發科,2454,5186,0,持平,2026-09-08
奇鋐,3017,5949,0,持平,2026-09-08
欣興,3037,20300,0,持平,2026-09-08
緯穎,6669,6491,0,持平,2026-09-08
旺矽,6223,2546,70,加碼,2026-09-08
國巨*,2327,24987,0,持平,2026-09-08
健策,3653,2447,0,持平,2026-09-08
台達電,2308,7240,0,持平,2026-09-08
智邦,2345,6464,0,持平,2026-09-08
聯電,2303,89118,0,持平,2026-09-08
日月光投控,3711,16811,0,持平,2026-09-08
南電,8046,9426,0,持平,2026-09-08
貿聯-KY,3665,4281,-123,減碼,2026-09-08
台燿,6274,5398,0,持平,2026-09-08
信驊,5274,208,0,持平,2026-09-08
富世達,6805,1731,0,持平,2026-09-08
京元電子,2449,12818,0,持平,2026-09-08
精測,6510,637,0,持平,2026-09-08
創意,3443,372,0,持平,2026-09-08
勤誠,8210,1902,-282,減碼,2026-09-08
臻鼎-KY,4958,2712,0,持平,2026-09-08
欣銓,3264,5028,0,持平,2026-09-08
高力,8996,745,-295,減碼,2026-09-08
穎崴,6515,95,0,持平,2026-09-08
台表科,6278,3248,0,持平,2026-09-08
華星光,4979,924,0,持平,2026-09-08
同欣電,6271,2222,0,持平,2026-09-08
新日興,3376,1740,0,持平,2026-09-08
精成科,6191,3988,0,持平,2026-09-08
金像電,2368,219,0,持平,2026-09-08
華通,2313,501,0,持平,2026-09-08
中鋼,2002,5163,0,持平,2026-09-08
大立光,3008,1,0,持平,2026-09-08
世芯-KY,3661,1,0,持平,2026-09-08
致茂,2360,1,0,持平,2026-09-08
萬潤,6187,1,0,持平,2026-09-08
亞德客-KY,1590,1,0,持平,2026-09-08
環球晶,6488,1,0,持平,2026-09-08
強茂,2481,5,0,持平,2026-09-08
譜瑞-KY,4966,1,0,持平,2026-09-08
南亞科,2408,1,0,持平,2026-09-08
金居,8358,1,0,持平,2026-09-08
廣達,2382,1,0,持平,2026-09-08
鴻海,2317,1,0,持平,2026-09-08
世界,5347,1,0,持平,2026-09-08
慧洋-KY,2637,1,0,持平,2026-09-08
南茂,8150,1,0,持平,2026-09-08
美律,2439,1,0,持平,2026-09-08
