股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12800,0,持平,2026-07-03
聯電,2303,75000,0,持平,2026-07-03
國巨*,2327,10050,0,持平,2026-07-03
奇鋐,3017,3450,0,持平,2026-07-03
欣興,3037,8960,0,持平,2026-07-03
旺矽,6223,1000,0,持平,2026-07-03
華邦電,2344,39600,800,加碼,2026-07-03
台光電,2383,1140,0,持平,2026-07-03
聯發科,2454,1435,0,持平,2026-07-03
智邦,2345,2100,0,持平,2026-07-03
台達電,2308,2430,0,持平,2026-07-03
緯穎,6669,790,0,持平,2026-07-03
臻鼎-KY,4958,6440,0,持平,2026-07-03
日月光投控,3711,5600,0,持平,2026-07-03
金像電,2368,2750,0,持平,2026-07-03
台燿,6274,1700,0,持平,2026-07-03
嘉澤,3533,1240,0,持平,2026-07-03
景碩,3189,3217,0,持平,2026-07-03
健策,3653,780,-50,減碼,2026-07-03
環球晶,6488,2000,0,持平,2026-07-03
創意,3443,480,0,持平,2026-07-03
高力,8996,1560,0,持平,2026-07-03
穎崴,6515,200,0,持平,2026-07-03
鴻勁,7769,279,0,持平,2026-07-03
南亞,1303,7550,0,持平,2026-07-03
旺宏,2337,10000,0,持平,2026-07-03
金居,8358,1950,0,持平,2026-07-03
力旺,3529,390,0,持平,2026-07-03
致茂,2360,450,0,持平,2026-07-03
南電,8046,795,0,持平,2026-07-03
富世達,6805,570,0,持平,2026-07-03
信驊,5274,45,0,持平,2026-07-03
鴻海,2317,3200,0,持平,2026-07-03
辛耘,3583,900,0,持平,2026-07-03
中砂,1560,1000,0,持平,2026-07-03
順達,3211,1560,0,持平,2026-07-03
譜瑞-KY,4966,900,0,持平,2026-07-03
帆宣,6196,1000,0,持平,2026-07-03
矽力*-KY,6415,900,0,持平,2026-07-03
光聖,6442,300,0,持平,2026-07-03
上銀,2049,1010,0,持平,2026-07-03
貿聯-KY,3665,166,0,持平,2026-07-03
頎邦,6147,1000,0,持平,2026-07-03
力成,6239,500,0,持平,2026-07-03
全新,2455,450,0,持平,2026-07-03
欣銓,3264,300,300,新增,2026-07-03
群聯,8299,1,0,持平,2026-07-03
勤誠,8210,1,0,持平,2026-07-03
華星光,4979,1,0,持平,2026-07-03
世界,5347,1,-999,減碼,2026-07-03
聯亞,3081,0,-1,清空,2026-07-03
