股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,11600,-600,減碼,2026-07-23
聯電,2303,76000,0,持平,2026-07-23
奇鋐,3017,3450,0,持平,2026-07-23
欣興,3037,7600,70,加碼,2026-07-23
台光電,2383,1330,0,持平,2026-07-23
聯發科,2454,1730,0,持平,2026-07-23
華邦電,2344,40000,0,持平,2026-07-23
旺矽,6223,1000,0,持平,2026-07-23
台達電,2308,3040,120,加碼,2026-07-23
智邦,2345,2260,0,持平,2026-07-23
國巨*,2327,6000,0,持平,2026-07-23
日月光投控,3711,6400,0,持平,2026-07-23
健策,3653,931,57,加碼,2026-07-23
緯穎,6669,600,-190,減碼,2026-07-23
臻鼎-KY,4958,6154,-780,減碼,2026-07-23
環球晶,6488,2350,0,持平,2026-07-23
景碩,3189,3217,0,持平,2026-07-23
嘉澤,3533,1240,0,持平,2026-07-23
台燿,6274,1680,0,持平,2026-07-23
創意,3443,510,0,持平,2026-07-23
南電,8046,1750,0,持平,2026-07-23
南亞,1303,10700,0,持平,2026-07-23
鴻勁,7769,300,0,持平,2026-07-23
金像電,2368,2060,0,持平,2026-07-23
信驊,5274,124,14,加碼,2026-07-23
高力,8996,1600,0,持平,2026-07-23
致茂,2360,760,0,持平,2026-07-23
貿聯-KY,3665,600,110,加碼,2026-07-23
旺宏,2337,10000,0,持平,2026-07-23
富世達,6805,700,80,加碼,2026-07-23
穎崴,6515,149,0,持平,2026-07-23
鴻海,2317,3200,0,持平,2026-07-23
順達,3211,2000,0,持平,2026-07-23
金居,8358,1750,0,持平,2026-07-23
力成,6239,2350,450,加碼,2026-07-23
辛耘,3583,900,0,持平,2026-07-23
中砂,1560,750,0,持平,2026-07-23
譜瑞-KY,4966,800,0,持平,2026-07-23
矽力*-KY,6415,900,0,持平,2026-07-23
上銀,2049,1010,0,持平,2026-07-23
光聖,6442,225,0,持平,2026-07-23
大立光,3008,60,0,持平,2026-07-23
漢唐,2404,180,0,持平,2026-07-23
欣銓,3264,600,0,持平,2026-07-23
全新,2455,336,0,持平,2026-07-23
啟碁,6285,250,0,持平,2026-07-23
群聯,8299,1,0,持平,2026-07-23
帆宣,6196,1,0,持平,2026-07-23
頎邦,6147,1,0,持平,2026-07-23
世界,5347,1,0,持平,2026-07-23
