股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12800,0,持平,2026-07-07
聯電,2303,75000,0,持平,2026-07-07
國巨*,2327,10050,0,持平,2026-07-07
奇鋐,3017,3450,0,持平,2026-07-07
華邦電,2344,39600,0,持平,2026-07-07
聯發科,2454,1600,110,加碼,2026-07-07
旺矽,6223,1000,0,持平,2026-07-07
台光電,2383,1140,0,持平,2026-07-07
欣興,3037,7064,-436,減碼,2026-07-07
智邦,2345,2100,0,持平,2026-07-07
台達電,2308,2430,0,持平,2026-07-07
緯穎,6669,790,0,持平,2026-07-07
日月光投控,3711,5900,300,加碼,2026-07-07
臻鼎-KY,4958,6440,0,持平,2026-07-07
金像電,2368,2750,0,持平,2026-07-07
台燿,6274,1700,0,持平,2026-07-07
健策,3653,780,0,持平,2026-07-07
嘉澤,3533,1240,0,持平,2026-07-07
環球晶,6488,2000,0,持平,2026-07-07
景碩,3189,3217,0,持平,2026-07-07
創意,3443,480,0,持平,2026-07-07
高力,8996,1560,0,持平,2026-07-07
鴻勁,7769,279,0,持平,2026-07-07
穎崴,6515,200,0,持平,2026-07-07
旺宏,2337,10000,0,持平,2026-07-07
南亞,1303,7550,0,持平,2026-07-07
金居,8358,1950,0,持平,2026-07-07
致茂,2360,450,0,持平,2026-07-07
富世達,6805,570,0,持平,2026-07-07
南電,8046,795,0,持平,2026-07-07
鴻海,2317,3200,0,持平,2026-07-07
力旺,3529,269,0,持平,2026-07-07
辛耘,3583,900,0,持平,2026-07-07
信驊,5274,50,5,加碼,2026-07-07
順達,3211,1800,0,持平,2026-07-07
中砂,1560,1000,0,持平,2026-07-07
帆宣,6196,1000,0,持平,2026-07-07
譜瑞-KY,4966,800,0,持平,2026-07-07
矽力*-KY,6415,900,0,持平,2026-07-07
光聖,6442,300,0,持平,2026-07-07
上銀,2049,1010,0,持平,2026-07-07
貿聯-KY,3665,166,0,持平,2026-07-07
力成,6239,900,0,持平,2026-07-07
頎邦,6147,1000,0,持平,2026-07-07
全新,2455,450,0,持平,2026-07-07
欣銓,3264,600,0,持平,2026-07-07
群聯,8299,1,0,持平,2026-07-07
勤誠,8210,1,0,持平,2026-07-07
華星光,4979,1,0,持平,2026-07-07
世界,5347,1,0,持平,2026-07-07
