股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12440,12440,新增,2026-05-13
奇鋐,3017,2660,2660,新增,2026-05-13
台光電,2383,1244,1244,新增,2026-05-13
聯電,2303,53850,53850,新增,2026-05-13
欣興,3037,5689,5689,新增,2026-05-13
日月光投控,3711,8920,8920,新增,2026-05-13
金像電,2368,2941,2941,新增,2026-05-13
台達電,2308,1823,1823,新增,2026-05-13
智邦,2345,1430,1430,新增,2026-05-13
緯穎,6669,610,610,新增,2026-05-13
群聯,8299,1128,1128,新增,2026-05-13
貿聯-KY,3665,1160,1160,新增,2026-05-13
信驊,5274,145,145,新增,2026-05-13
旺宏,2337,13832,13832,新增,2026-05-13
南電,8046,2590,2590,新增,2026-05-13
旺矽,6223,300,300,新增,2026-05-13
世界,5347,9901,9901,新增,2026-05-13
臻鼎-KY,4958,3600,3600,新增,2026-05-13
嘉澤,3533,605,605,新增,2026-05-13
健策,3653,430,430,新增,2026-05-13
國巨*,2327,3560,3560,新增,2026-05-13
致茂,2360,529,529,新增,2026-05-13
國泰金,2882,16001,16001,新增,2026-05-13
鴻勁,7769,166,166,新增,2026-05-13
健鼎,3044,1894,1894,新增,2026-05-13
力旺,3529,255,255,新增,2026-05-13
高力,8996,883,883,新增,2026-05-13
華邦電,2344,7200,7200,新增,2026-05-13
勤誠,8210,553,553,新增,2026-05-13
台燿,6274,551,551,新增,2026-05-13
穎崴,6515,79,79,新增,2026-05-13
創意,3443,145,145,新增,2026-05-13
聯亞,3081,255,255,新增,2026-05-13
華通,2313,3031,3031,新增,2026-05-13
辛耘,3583,734,734,新增,2026-05-13
金居,8358,1551,1551,新增,2026-05-13
文曄,3036,2365,2365,新增,2026-05-13
中信金,2891,11801,11801,新增,2026-05-13
譜瑞-KY,4966,784,784,新增,2026-05-13
順達,3211,1601,1601,新增,2026-05-13
頎邦,6147,3100,3100,新增,2026-05-13
聯發科,2454,155,155,新增,2026-05-13
中砂,1560,851,851,新增,2026-05-13
華星光,4979,860,860,新增,2026-05-13
穩懋,3105,957,957,新增,2026-05-13
富世達,6805,215,215,新增,2026-05-13
光聖,6442,160,160,新增,2026-05-13
強茂,2481,2001,2001,新增,2026-05-13
上銀,2049,601,601,新增,2026-05-13
全新,2455,145,145,新增,2026-05-13
